type;title;director;country;co_production;date_added;release_year;duration;description
Movie;Snowden;Oliver Stone;United Kingdom, France, Germany, United States;Y;01/11/2020;2016;134;This thriller traces Edward Snowden's journey from Army recruit to disillusioned government analyst bent on exposing vast U.S. surveillance programs.
TV Show;The Garfield Show;;France, United States;Y;01/11/2020;2018;4;Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie.
TV Show;The Good Detective;;South Korea;N;01/11/2020;2020;1;When doubts rise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths.
Movie;The Impossible;J.A. Bayona;Spain, Thailand, United States;Y;01/11/2020;2012;114;Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia.
Movie;The Next Karate Kid;Christopher Cain;United States;N;01/11/2020;1994;107;In Boston, karate master Mr. Miyagi finds a new pupil in troubled teen Julie Pierce when she gets bullied by a group of relentless classmates.
TV Show;Voice;;South Korea;N;01/11/2020;2018;2;A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder.
Movie;Wheels of Fortune;Shaun Paul Piccinino;United States;N;01/11/2020;2020;107;To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will.
TV Show;Afronta! Facing It!;Juliana Vicente;Brazil;N;31/10/2020;2017;1;This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.
Movie;The 12th Man;Harald Zwart;Norway;N;31/10/2020;2018;130;Based on true events, this story follows a Norwegian saboteur’s harrowing struggle to reach safety after escaping a Nazi attack during World War II.
TV Show;Zumbo's Just Desserts;;Australia;N;31/10/2020;2019;1;Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize.
Movie;Hidden in Plain Sight;Stacia Crawford;United States;N;30/10/2020;2019;87;A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.
Movie;His House;Remi Weekes;United Kingdom;N;30/10/2020;2020;93;As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home.
Movie;In Line;Tope Oshin;Nigeria;N;30/10/2020;2017;114;A convicted murderer gets out of prison and reunites with his wife, who is plotting revenge against him after years of physical and emotional abuse.
Movie;Kaali Khuhi;Terrie Samundra;India;N;30/10/2020;2020;91;When a restless spirit curses a village that has a history of female infanticide, the town's fate lies in the hands of a 10-year-old girl.
TV Show;Marvel's Agents of S.H.I.E.L.D.;;United States;N;30/10/2020;2020;7;Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats.
Movie;Rogue City;Olivier Marchal;France;N;30/10/2020;2020;116;Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.
TV Show;Somebody Feed Phil;;United States;N;30/10/2020;2020;4;"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more."
TV Show;Suburra: Blood on Rome;;Italy;N;30/10/2020;2020;3;In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.
Movie;The Day of the Lord;Santiago Alvarado Ilarri;Mexico, Spain;Y;30/10/2020;2020;93;In this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter.
Movie;Pagpag: Nine Lives;Frasco Mortiz;Philippines;N;29/10/2020;2013;106;After ignoring superstitions, a group of teenagers find themselves in a fight for their lives when they are haunted — and hunted — by an evil spirit.
Movie;Holidate;John Whitesell;United States;N;28/10/2020;2020;105;Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.
Movie;Metallica Through The Never;Nimród Antal;United States;N;28/10/2020;2013;93;As heavy metal band Metallica tears up the stage, a young roadie is sent on an urgent errand. But his mission soon takes a surreal turn.
Movie;Nobody Sleeps in the Woods Tonight;Bartosz M. Kowalski;Poland;N;28/10/2020;2020;103;Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.
Movie;Secrets of the Saqqara Tomb;James Tovell;United States;N;28/10/2020;2020;114;After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find.
TV Show;Blood of Zeus;;United States;N;27/10/2020;2020;1;A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.
TV Show;Chico Bon Bon: Monkey with a Tool Belt;;United States;N;27/10/2020;2020;4;Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems.
Movie;Guillermo Vilas: Settling the Score;Matías Gueilburt;Argentina;N;27/10/2020;2020;95;An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s.
Movie;Sarah Cooper: Everything's Fine;Natasha Lyonne;United States;N;27/10/2020;2020;50;Comedian and Trump lip-synching sensation Sarah Cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests.
TV Show;The Devil Punisher;Chang Chin-jung, Chen Rong-hui;Taiwan;N;26/10/2020;2020;1;A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.
Movie;Ajab Prem Ki Ghazab Kahani;Rajkumar Santoshi;India;N;25/10/2020;2009;150;A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.
Movie;Black '47;Lance Daly;Ireland, Luxembourg, Belgium;Y;24/10/2020;2018;100;When the Great Famine ravages his beloved country, a battle-hardened Irishman deserts the British Empire and exacts revenge on the tyrants responsible.
Movie;I Am Woman;Unjoo Moon;Australia;N;24/10/2020;2019;117;In the 1960s, Australian singer Helen Reddy struggles with misogyny in the music business — until she records an anthem for the women's movement.
Movie;Alice Junior;Gil Baroni;Brazil;N;23/10/2020;2019;87;In a small town, a trans teen with a vibrant personality shakes up her high school's conservative ways while trying to secure her first kiss.
TV Show;Barbarians;;Germany;N;23/10/2020;2020;1;Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.
TV Show;Move;Thierry Demaizière, Alban Teurlai;United States;N;23/10/2020;2020;1;Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.
Movie;Over the Moon;Glen Keane;China, United States;Y;23/10/2020;2020;100;Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess.
Movie;Shattered Memories;Chris Sivertson;United States;N;23/10/2020;2018;86;When her former lover's mysteriously murdered, a woman must clear her name – and avoid the killer.
TV Show;Stolen Away;;Spain;N;23/10/2020;2020;1;Searching for his kidnapped daughter, Antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in Colombia.
TV Show;The Queen's Gambit;;United States;N;23/10/2020;2020;1;In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.
Movie;Bending the Arc;Kief Davidson, Pedro Kos;United States;N;22/10/2020;2017;102;This documentary follows a group of ambitious advocates whose mission to save lives in Haiti turns into a global fight for health care and justice.
Movie;Cadaver;Jarand Herdal;Norway;N;22/10/2020;2020;87;When a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they'll pay much more than the price of admission.
Movie;Exes Baggage;Dan Villegas;Philippines;N;22/10/2020;2018;103;After years apart, a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past.
Movie;Fisherman's Friends;Chris Foggin;United Kingdom;N;22/10/2020;2019;112;Sea shanties have long united 10 Cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay.
Movie;The Hows of Us;Cathy Garcia-Molina;Philippines;N;22/10/2020;2018;120;A young couple's house was once a happy home. But with one as the breadwinner and the other looking for a big break, can love still live here?
Movie;The Hummingbird Project;Kim Nguyen;Canada, Belgium;Y;22/10/2020;2018;111;After discovering a shortcut that gives them a technological advantage, two cousins look to earn their big score by outracing a massive corporation.
Movie;Yes, God, Yes;Karen Maine;United States;N;22/10/2020;2020;78;A devoutly religious teen grapples with her own sexual awakening, and attends a Catholic school retreat in the hopes of suppressing her newfound urges.
Movie;Brave Blue World: Racing to Solve Our Water Crisis;Tim Neeves;Canada, United Kingdom;Y;21/10/2020;2020;51;From reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water.
TV Show;My Next Guest Needs No Introduction With David Letterman;;United States;N;21/10/2020;2020;3;TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.
Movie;Rebecca;Ben Wheatley;United Kingdom;N;21/10/2020;2020;123;A young newlywed moves to her husband's imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife.
Movie;The Magic School Bus Rides Again The Frizz Connection;Richard Weston;Canada;N;20/10/2020;2020;46;Lightning splits the Magic School Bus into three pieces, scattering the class across the globe with different versions of Ms. Frizzle aboard each bus!
Movie;Tremors: Shrieker Island;Don Michael Paul;United States;N;20/10/2020;2020;102;When massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts.
Movie;Beirut Oh Beirut;Maroun Baghdadi;Lebanon;N;19/10/2020;1975;106;In the aftermath of the 1967 Arab-Israeli War, four young Lebanese navigate their existence along rapidly transforming political lines.
Movie;Bosta;Philippe Aractingi;Lebanon;N;19/10/2020;2005;112;After 15 years in France, Kamal returns to his native Beirut and reassembles his dance crew, striving to modernize traditional Dabke routines.
Movie;Ghadi;Amin Dora;Lebanon;N;19/10/2020;2013;101;When the father of a boy with Down syndrome resists his neighbors' efforts to have the child institutionalized, miraculous events begin to occur.
Movie;Heritages;Philippe Aractingi;Lebanon, United Arab Emirates, France, Switzerland, Germany;Y;19/10/2020;2014;96;After being forced to leave his country three times, a Lebanese film director traces his roots and analyzes key moments of the nation's history.
Movie;Listen;Philippe Aractingi;Lebanon;N;19/10/2020;2017;103;A sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses.
Movie;Out of Life;Maroun Baghdadi;France, Belgium, Italy;Y;19/10/2020;1991;94;Kidnapped by guerrillas in Beirut, a French photojournalist refuses to yield his dignity despite being tortured and brainwashed by his captors.
Movie;Panoptic;Rana Eid;Lebanon;N;19/10/2020;2017;69;This documentary dissects Lebanon's present-day paradoxes stemming from years of conflict as the director attempts to reconcile with her nation's past.
Movie;Taxi Ballad;Daniel Joseph;Lebanon, United States, United Arab Emirates;Y;19/10/2020;2012;81;A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.
Movie;The Kite;Randa Chahal Sabbag;Lebanon, France;Y;19/10/2020;2003;76;In an occupied village, a teen girl is set to wed a stranger. But when she crosses over to meet her betrothed, her heart gets entangled at the border.
Movie;The Little Wars;Maroun Baghdadi;France, Lebanon;Y;19/10/2020;1982;108;Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.
Movie;Under the Bombs;Philippe Aractingi;France, Lebanon, United Kingdom;Y;19/10/2020;2007;94;A mother arrives in war-torn Lebanon looking for her missing son in the South as a cab driver agrees to escort her on her dangerous trip.
Movie;West Beirut;Ziad Doueiri;France, Norway, Lebanon, Belgium;Y;19/10/2020;1999;106;Three intrepid teens roam the streets of Beirut in the midst of civil war, filming on a Super 8 camera and reckoning with the pains of growing up.
Movie;An Ordinary Man;Brad Silberling;Serbia, United States;Y;01/10/2020;2017;91;A war criminal in hiding begins to suspect that the maid, his only confidant and contact with the outside world, may be hiding something herself.
Movie;Carlos Almaraz: Playing with Fire;Elsa Flores Almaraz, Richard J Montoya;United States;N;01/10/2020;2019;83;Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s.
Movie;Cold Harbour;Carey McKenzie;South Africa;N;01/10/2020;2013;73;When a war breaks out between competing gangs of smugglers in Cape Town, South Africa, an honest cop is pressured to work for a powerful crime lord.
TV Show;Evil;;United States;N;01/10/2020;2019;1;A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.
TV Show;Familiar Wife;;South Korea;N;01/10/2020;2018;1;After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.
Movie;Hope Frozen: A Quest to Live Twice;Pailin Wedel;Thailand, United States;Y;15/09/2020;2020;80;A Thai scientist and his family decide to cryonically freeze their cherished, dying toddler. This heartfelt documentary follows their journey.
Movie;Michael McIntyre: Showman;Chris Howe;United Kingdom;N;15/09/2020;2020;63;Charming comic Michael McIntyre talks family, technology, sharks, accents and the time he confused himself for a world leader in this stand-up special.
Movie;Raising Victor Vargas;Peter Sollett;France, United States;Y;15/09/2020;2002;88;A suave teen sets his sights on a girl who seems beyond his reach. But his game can't be confined to his tiny apartment and family's old-school values.
TV Show;Taco Chronicles;;United States;N;15/09/2020;2020;2;Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure.
TV Show;Bookmarks;;United States;N;01/09/2020;2020;1;Celebrity readers share children's books by Black authors to spark kid-friendly conversations about empathy, equality, self-love and antiracism.
TV Show;Borgen;;Denmark;N;01/09/2020;2012;3;A shocking turn of events puts Birgitte Nyborg in the Danish prime minister's seat as her country's first female leader in this landmark drama.
Movie;Children of the Sea;Ayumu Watanabe;Japan, United States;Y;01/09/2020;2019;112;Ruka spends her summer at the aquarium, where she’s drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean.
TV Show;Erased;;Japan;N;01/09/2020;2016;1;Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past, he has a chance to save his murdered classmates.
TV Show;Ojos in d' House;;Nigeria;N;22/08/2020;2013;1;After a newly rich family moves into an upper-class neighborhood, they try to keep their matriarch's obsessive pursuit of social acceptance in check.
Movie;Class of '83;Atul Sabharwal;India;N;21/08/2020;2020;98;Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld.
Movie;Dark Forces;Bernardo Arellano;Mexico;N;21/08/2020;2020;81;In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.
TV Show;Hoops;;United States;N;21/08/2020;2020;1;A foul-mouthed high school basketball coach is sure he'll hit the big leagues if he can only turn his terrible team around. Good luck with that.
Movie;Malibu Rescue: The Next Wave;Savage Steve Holland;United States;N;04/08/2020;2020;71;As summer returns to Malibu, Team Flounder takes to the beach to host — and unexpectedly compete in — the International Beachmaster Competition.
TV Show;Mystery Lab;;Brazil;N;04/08/2020;2020;1;Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.
Movie;Sam Jay: 3 In The Morning;Kristian Mercado;United States;N;04/08/2020;2020;64;"Comedian and ""Saturday Night Live"" writer Sam Jay serves up fresh takes on relationships, travel nightmares, the audacity of white people and more."
TV Show;Immigration Nation;;United States;N;03/08/2020;2020;1;With unprecedented access to ICE operations, as well as moving portraits of immigrants, this docuseries takes a deep look at US immigration today.
Movie;Almost Love;Mike Doyle;United States;N;02/08/2020;2020;92;A close crew of striving New Yorkers experiences both joy and heartache in their romantic and professional lives.
Movie;Killing Hasselhoff;Darren Grant;United States;N;01/08/2020;2017;80;In major debt to a loan shark, a nightclub owner who's entered in a celebrity death pool tries to murder a famous figure for half a million dollars.
TV Show;Moesha;;United States;N;01/08/2020;2000;6;Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together.
TV Show;My Perfect Landing;;Canada;N;01/08/2020;2020;1;Everything changes for talented young gymnast Jenny Cortez when she moves with her family from Miami to Toronto to open a new gymnastics club.
TV Show;Nagi-Asu: A Lull in the Sea;;Japan;N;01/08/2020;2014;1;In a world where humans are divided between the land and the sea, four childhood friends from the ocean must attend middle school on the surface.
Movie;Rogue Warfare: The Hunt;Mike Gunther;United States;N;01/08/2020;2020;104;When their leader is captured by an extremist organization, a special forces team stages a perilous rescue mission as time runs out.
Movie;Super Monsters: The New Class;Steve Ball;Canada;N;01/08/2020;2020;25;A new class of pint-sized preschoolers arrives at Pitchfork Pines, and the Super Monsters take their superpowers to the next level — the Purple Room!
TV Show;The Next Step;;Canada;N;01/08/2020;2018;1;This drama series follows young dancers at the Next Step Dance Studio as they attempt to win the coveted regional dance championships.
Movie;The Ottoman Lieutenant;Joseph Ruben;Turkey, United States;Y;01/08/2020;2017;111;As World War I looms, an American nurse travels to the Ottoman Empire on a medical mission, where she clashes with a dashing lieutenant.
TV Show;Toradora!;;Japan;N;01/08/2020;2008;1;Menacing in appearance but gentle at heart, Ry?ji forms an unlikely friendship with Taiga, a tiny girl with a sharp tongue and a tough attitude.
TV Show;Transformers Rescue Bots Academy;;United States;N;01/08/2020;2020;2;As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions.
Movie;What Keeps You Alive;Colin Minihan;Canada;N;01/08/2020;2018;99;A couple's romantic anniversary retreat to a rural cabin unravels when a childhood friend appears and reveals long-held secrets from the past.
Movie;The Royal Hibiscus Hotel;Ishaya Bako;Nigeria;N;22/06/2020;2017;90;A disenchanted chef tries to help her parents restore their failing hotel but cooks up feelings for an investor with his sights set on the property.
TV Show;It's Okay to Not Be Okay;;South Korea;N;21/06/2020;2020;1;An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.
Movie;Woodshock;Kate Mulleavy, Laura Mulleavy;United States;N;21/06/2020;2017;101;Shattered after her mother's death, a woman floats away from reality under the effect of a potent, hallucinatory drug as her life decays into chaos.
Movie;Elevator Baby;Akhigbe Ilozobhie;Nigeria;N;20/06/2020;2019;84;A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.
TV Show;Babies;;United States;N;19/06/2020;2020;2;From nature to nurture, this docuseries explores the groundbreaking science that reveals how infants discover life during their very first year.
Movie;Chaman Bahaar;Apurva Dhar Badgaiyann;India;N;19/06/2020;2020;112;A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.
Movie;Uncut Gems;Josh Safdie, Benny Safdie;United States;N;25/05/2020;2019;135;With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive.
TV Show;Betaal;;India;N;24/05/2020;2020;1;Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies.
TV Show;Dynasty;;United States;N;23/05/2020;2019;3;The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.
Movie;One Day We'll Talk About Today;Angga Dwimas Sasongko;Indonesia;N;23/05/2020;2020;128;Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.
TV Show;Nadiya’s Time to Eat;;United Kingdom;N;29/04/2020;2020;1;On this cooking show, Nadiya Hussain serves up delicious shortcuts, vital ingredients and fast favorites — perfect for today's time-strapped families.
Movie;R.K.Nagar;Saravana Rajan;India;N;29/04/2020;2019;132;Things look up for a Chennai man struggling to make ends meet when he falls for a politician’s daughter – until he gets entangled in a murder case.
TV Show;Tjovitjo;;South Africa;N;29/04/2020;2017;2;Amidst poverty and struggle, a hardened pantsula dance leader enters a dark space and searches for redemption and salvation in his community.
Movie;Beynelmilel;Muharrem Gülmez, S?rr? Süreyya Önder;Turkey;N;28/04/2020;2006;102;When a local musician and his band are forced to perform in honor of a right-wing coup, his daughter schemes to make their music subversive instead.
Movie;Bir Baba Hindu;Sermiyan Midyat;Turkey, India;Y;28/04/2020;2016;107;A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.
Movie;Boushkash;Ahmed Yousry, Hazem Fouda;Egypt;N;28/04/2020;2008;100;A former goalkeeper-turned-talent scout embarks on a mischievous adventure to recruit players for Egyptian football clubs.
Movie;Magnificent;Vikas Bahl;India;N;01/04/2020;2015;143;An industrialist's daughter is forced to marry a rich heir by her greedy grandmother as her adopted sister bonds with the charismatic wedding planner.
TV Show;Man Like Mobeen;;United Kingdom;N;01/04/2020;2020;3;Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past – and everyday life – complicates matters.
Movie;Mighty Raju Rio Calling;Rajiv Chilaka, Anirban Majumder, Alka Amarkant Dubey;India;N;01/04/2020;2014;97;Mighty Raju preps for a new adventure in Rio de Janeiro, where he goes toe-to-toe with rival soccer players, faces capoeira fighters and more.
Movie;Muqaddar ka Faisla;Prakash Mehra;India;N;01/04/2020;1987;172;God-fearing Pandit Krishna Kant loses everything and turns to a life of crime after his landlord tries to rape his wife and tears his family apart.
TV Show;Saint Seiya;;Japan;N;01/04/2020;1986;6;A band of young warriors in magical armor vow to defend the reincarnation of Greek goddess Athena against evil forces and to return her to the throne.
Movie;SETHUM AAYIRAM PON;Anand Ravichandran;India;N;01/04/2020;2020;103;Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hang heavy between them.
TV Show;Sunderland 'Til I Die;;United Kingdom;N;01/04/2020;2020;2;This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.
TV Show;The Iliza Shlesinger Sketch Show;;United States;N;01/04/2020;2020;1;From the mind of comedian Iliza Shlesinger comes a fun, irreverent mix of kooky characters, sly social commentary and pop culture gags.
Movie;The Little Vampire;Richard Claus, Karsten Kiilerich;Netherlands, Germany, Denmark, United Kingdom;Y;01/04/2020;2017;83;An American kid obsessed with the undead befriends and offers to help a young vampire whose family is being targeted by a merciless vampire hunter.
Movie;The Runaways;Floria Sigismondi;United States;N;01/04/2020;2010;107;This biopic charts the rise of the rebellious California girls who formed the 1970s rock group the Runaways, paving the way for future girl musicians.
TV Show;The Windsors;;United Kingdom;N;01/04/2020;2020;3;The all-too-public trials and tribulations of England's royal family are reimagined as an over-the-top comedic soap opera.
Movie;Ungli;Renzil D'Silva;India;N;01/04/2020;2014;114;"An undercover cop finds himself in a strange position after infiltrating a ""gang"" that pulls wildly popular pranks on corrupt officials in Mumbai."
TV Show;Well-Intended Love;;China;N;01/04/2020;2020;2;To secure a bone marrow donation, an actress diagnosed with leukemia makes a marriage pact with a young CEO – but love and secrets get in the way.
Movie;Wildling;Fritz Böhm;United States;N;01/04/2020;2018;93;Confined to an attic for years by a man claiming to be her protector, teenage Anna is liberated and begins learning the rest of her terrifying story.
Movie;A truthful Mother;Ravishankar Venkateswaran;India;N;31/03/2020;2020;85;Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song.
TV Show;Akbar Birbal;;India;N;31/03/2020;2019;1;From battles of wit to fights for justice, Emperor Akbar and his trusty advisor Birbal display their unique bond through adventures in Mughal-era India.
Movie;Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor;;United States;N;31/03/2020;2020;85;Dave Chappelle is awarded the prestigious Mark Twain Prize for American Humor in a star-studded ceremony from the Kennedy Center in Washington, D.C.
Movie;Greater;David Hunt;United States;N;31/03/2020;2016;131;Faith and determination transform a talentless football player at the University of Arkansas into an All-American in this inspiring true story.
Movie;Indian Horse;Stephen S. Campanelli;Canada;N;31/03/2020;2017;101;Stripped of his heritage at a residential school, an indigenous student finds refuge on the rink when he discovers a passion for hockey.
Movie;Paharganj;Rakesh Ranjan Kumar;India;N;31/03/2020;2019;107;In the underbelly of a Delhi neighborhood, a woman’s search for her missing lover collides with drugs, death and a coach grappling with his demons.
Movie;Pretty Little Stalker;Sam Irvin;United States;N;31/03/2020;2018;84;When a self-help writer's advice goes wrong, she finds herself in the crosshairs of an obsessive young woman with a thirst for vengeance.
Movie;Through My Father's Eyes: The Ronda Rousey Story;Gary Stretch;Canada, United States;Y;31/03/2020;2019;104;This documentary chronicles former Olympian and UFC champion Ronda Rousey's ascent to iconic status in the world of mixed martial arts.
Movie;Kannum Kannum Kollaiyadithaal;Desingh Periyasamy;India;N;29/03/2020;2020;160;A carefree racing enthusiast’s womanizing ways end when he meets the girl of his dreams, but their newfound peace is disrupted by a dangerous killer.
TV Show;Rugal;;South Korea;N;29/03/2020;2020;1;A police detective who loses everything to a criminal organization seeks payback when he gains special abilities through biotechnology.
Movie;Guatemala: Heart of the Mayan World;Luis Ara, Ignacio Jaunsolo;Uruguay, Guatemala;Y;30/11/2019;2019;67;From Sierra de las Minas to Esquipulas, explore Guatemala's cultural and geological wealth, including ancient Mayan cities and other natural wonders.
Movie;The Zoya Factor;Abhishek Sharma;India;N;30/11/2019;2019;135;A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.
Movie;Atlantics;Mati Diop;France, Senegal, Belgium;Y;29/11/2019;2019;106;Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.
